from,to,detail,type,contract_size
UK government,Conservative party,The Conservatives have been in government since 2010 (in coalition) and since 2015 as a single-party government,member,
UK government,Boris Johnson,Boris Johnson is the Prime Minister,member,
Conservative party,Boris Johnson,Boris Johnson is a Conservative MP and currently Prime Minister,member,
Leader's Club,Boris Johnson,The Prime Minister regularly attends private dinners and drinks receptions with this group of wealthy Tory donors,group,
Anthony Page,Michelle Mone,"Before founding PPE Medpro, Anthony Page was the secretary of the company which manages Michelle Mone's ""brand""",job,
Douglas Barrowman,Knox Group,Douglas Barrowman founded the Knox group of companies,job,
Douglas Barrowman,Michelle Mone,Douglas Barrowman and Michelle Mone are engaged,family,
Conservative party,Lancaster Knox LLP,"Lancaster Knox LLP has given <a target=""_blank"" href=""http://search.electoralcommission.org.uk/?currentPage=1&rows=10&query=lancaster%20knox&sort=AcceptedDate&order=desc&tab=1&et=pp&et=ppm&et=tp&et=perpar&et=rd&isIrishSourceYes=true&isIrishSourceNo=true&prePoll=false&postPoll=true&register=gb&register=ni&register=none&optCols=Register&optCols=CampaigningName&optCols=AccountingUnitsAsCentralParty&optCols=IsSponsorship&optCols=IsIrishSource&optCols=RegulatedDoneeType&optCols=CompanyRegistrationNumber&optCols=Postcode&optCols=NatureOfDonation&optCols=PurposeOfVisit&optCols=DonationAction&optCols=ReportedDate&optCols=IsReportedPrePoll&optCols=ReportingPeriodName&optCols=IsBequest&optCols=IsAggregation"">over £200,000 to the Conservative party</a> since 2017",donor,200
Conservative party,HM Revenue and Customs,"HM Revenue and Customs has given <a target=""_blank"" href=""http://search.electoralcommission.org.uk/Search/Donations?currentPage=1&rows=30&query=Revenue%20Customs%20unionist&sort=AcceptedDate&order=desc&tab=1&et=pp&et=ppm&et=tp&et=perpar&et=rd&isIrishSourceYes=true&isIrishSourceNo=true&prePoll=false&postPoll=true&register=gb&register=ni&register=none&optCols=Register&optCols=CampaigningName&optCols=AccountingUnitsAsCentralParty&optCols=IsSponsorship&optCols=IsIrishSource&optCols=RegulatedDoneeType&optCols=CompanyRegistrationNumber&optCols=Postcode&optCols=NatureOfDonation&optCols=PurposeOfVisit&optCols=DonationAction&optCols=ReportedDate&optCols=IsReportedPrePoll&optCols=ReportingPeriodName&optCols=IsBequest&optCols=IsAggregation""> over £70,000 to the Conservatives</a> since Q2 2020",donor,
Conservative party,David Cameron,David Cameron was a Conservative Prime Minister,job,
Conservative party,Michelle Mone,Michelle Mone was made into a Conservative peer by David Cameron in 2015,job,
Knox House Trustees (UK) Limited,Anthony Page,Anthony Page is a Director at Knox House Trustees (UK) Limited,job,
Knox Group,Knox House Trustees (UK) Limited,Knox House Trustees (UK) Limited is part of the Knox group of companies,corporate,
Knox Group,"HM Revenue and Customs has given <a target=""_blank"" href=""http://search.electoralcommission.org.uk/Search/Donations?currentPage=1&rows=30&query=Revenue%20Customs%20unionist&sort=AcceptedDate&order=desc&tab=1&et=pp&et=ppm&et=tp&et=perpar&et=rd&isIrishSourceYes=true&isIrishSourceNo=true&prePoll=false&postPoll=true&register=gb&register=ni&register=none&optCols=Register&optCols=CampaigningName&optCols=AccountingUnitsAsCentralParty&optCols=IsSponsorship&optCols=IsIrishSource&optCols=RegulatedDoneeType&optCols=CompanyRegistrationNumber&optCols=Postcode&optCols=NatureOfDonation&optCols=PurposeOfVisit&optCols=DonationAction&optCols=ReportedDate&optCols=IsReportedPrePoll&optCols=ReportingPeriodName&optCols=IsBequest&optCols=IsAggregation"">over £70,000 to the Conservative Party from Q2 2020</a>",Lancaster Knox is part of the Knox group of companies,corporate,
Conservative party,Douglas Barrowman,"Billionaire Douglas Barrowman tried to <a target=""_blank"" href=""http://search.electoralcommission.org.uk/English/Donations/I0405715"">donate £2,500</a> to the Tories in 2019, but it was returned since he was not on the electoral register at the time, making him an ""impermissible donor"" under the current rules. ",donor,2.5
Conservative party,Jesse Norman,Alexander Jesse Norman is a Conservative MP and government minister serving as Financial Secretary to the Treasury since 2019,job,
Jesse Norman,Boris Johnson,"Jesse Norman and Boris Johnson were contemporaries and <a target=""_blank"" href=""https://www.theguardian.com/education/2013/apr/27/jesse-norman-eton-school-uk-government""knew each other at Eton</a>",informal,
Conservative party,Mel Stride,Stride served in the May Government as Financial Secretary to the Treasury and Paymaster General from 2017 to 2019.,job,
Knox House Trustees (UK) Limited,James Alexander Heathcote,James Alexander Heathcote is a Director at Knox House Trustees (UK) Limited,job,
Knox House Trustees (UK) Limited,Arthur John Lancaster,Arthur John Lancaster is a Director at Knox House Trustees (UK) Limited,job,
Knox House Trustees (UK) Limited,Douglas Barrowman,Has significant influence or control of Knox House Trustees (UK) Limited,job,
Vanquish Options Limited,Arthur John Lancaster,Arthur John Lancaster was a Director at Vanquish Options Limited,job,
Vanquish Options Limited,Timothy Clive Eve,Timothy Clive Eve was a Director and Company Secretary at Vanquish Options Limited,job,
Hamilton Trust Limited,Guernsey,"Hamilton Trustees Limited was based in Guernsey, a tax haven",jurisdiction,
K2/Cirrus Contractor Solutions,Jersey,"K2/Cirrus Contractor Solutions was based in Jersey, a tax haven",jurisdiction,
Isle of Man,AML Executive PPC Limited,"AML Executive PPC Limited was registered in the Isle of Man, a tax haven",jurisdiction,
Knox Group,AML Executive PPC Limited,AML Executive PPC Limited was part of the Knox group of companies,corporate,
Isle of Man,119277C Limited,"119277C Limited was registered in the Isle of Man, a tax haven",jurisdiction,
Knox Group,119277C Limited,119277C Limited was part of the Knox group of companies,corporate,
Isle of Man,AML Tax (IOM) Limited,"AML Tax (IOM) Limited is registered in the Isle of Man, a tax haven",jurisdiction,
Knox Group,AML Tax (IOM) Limited,AML Tax (IOM) Limited is part of the Knox group of companies,corporate,
Isle of Man,SmartPay Executive Limited,"SmartPay Executive Limited is registered in the Isle of Man, a tax haven",jurisdiction,
Knox Group,SmartPay Executive Limited,SmartPay Executive Limited is part of the Knox group of companies,corporate,
Hyrax Resourcing Limited,Joanne Marie Macnamara,Joanne Marie Macnamara is a director of Hyrax Resourcing Limited,job,
Peak Performance Professional Contracts Limited,Joanne Marie Macnamara,Joanne Marie Macnamara was a director of Peak Performance Professional Contracts Limited,job,
Peak Performance Professional Contracts Limited,David Gill,David Gill is a director of Peak Performance Professional Contracts Limited,job,
Peak Performance Professional Contracts Limited,Hamilton Trust Limited,Peak Performance Professional Contracts Limited (3PCL) is an intermediary firm for the Hamilton scheme,corporate,
Peak Performance Professional Contracts Limited,K2/Cirrus Contractor Solutions,Peak Performance Professional Contracts Limited (3PCL) is an intermediary firm for the K2/Cirrus scheme,corporate,
Peak Performance Professional Contracts Limited,Hyrax Resourcing Limited,Peak Performance Professional Contracts Limited (3PCL) is an intermediary firm for the Hyrax scheme,corporate,
HM Treasury,UK government,HM Treasury is the department responsible for developing and executing the government's public finance policy and economic policy,member,
HM Revenue and Customs,HM Treasury,HM Revenue and Customs is a non-ministerial department responsible for the collection of taxes,member,
HM Treasury,Boris Johnson,Fiirst Lord of the Treasury,job,
HM Treasury,Rishi Sunak,Chancellor of the Exchequer,job,
HM Treasury,Jesse Norman,Financial Secretary to the Treasury,job,
HM Treasury,John Glen,Economic Secretary to the Treasury,job,
HM Treasury,Mel Stride,Chair of the Treasury Select Committee,job,
HM Revenue and Customs,Jim Harra,First Permanent Secretary and Chief Executive of HM Revenue and Customs since October 2019,job,
Conservative party,Rishi Sunak,Chancellor of the Exchequer,member,
Conservative party,John Glen,Economic Secretary to the Treasury,member,
RCDTS Limited,HM Revenue and Customs,"RCDTS Ltd provides HMRC with managed information technology services, which directly contribute to the support and running of HMRC",corporate,
RCDTS Limited,Jim Harra,The sole member of RCDTS Ltd is officially the Treasury Solicitor. The Treasury Solicitor has granted a power of attorney to Sir Jonathan Thompson and Jim Harra (as his deputy) which enables them to exercise all powers of the sole member,job,
RCDTS Limited,Jonathan Thompson,The sole member of RCDTS Ltd is officially the Treasury Solicitor. The Treasury Solicitor has granted a power of attorney to Sir Jonathan Thompson and Jim Harra (as his deputy) which enables them to exercise all powers of the sole member,job,
HM Revenue and Customs,Jonathan Thompson,Sir Jonathan was appointed Chief Executive and Permanent Secretary of HM Revenue and Customs in April 2016 ,job,
Simon Roger Emblin,FS Capital Limited,Simon Emblin is a director of FS Capital Limited,job,
FS Capital Limited,K2/Cirrus Contractor Solutions,FS Capital is demanding loan repayments from users of the K2/Cirrus Constractor Solutions schemes,demand,
FS Capital Limited,Hyrax Resourcing Limited,FS Capital is demanding loan repayments from users of the Hyrax scheme,demand,
Smartpay Consulting Limited,Malta,Malta Incorporated Panama Papers,jurisdiction,
Falcon Management Limited,Malta,Malta Incorporated Panama Papers,jurisdiction,
Falcon Contracts Limited,Malta,Malta Incorporated Panama Papers,jurisdiction,
Smartpay Management Limited,Malta,Malta Incorporated Panama Papers,jurisdiction,
Timothy Brian Blackburn,Malta,Malta / Isle of Man Arthur Lancaster connection,jurisdiction,
Pulse Professional Services limited,Malta,Malta Incorporated Panama Papers,jurisdiction,
Contracting Options Limited,Malta,Malta Incorporated Panama Papers,jurisdiction,
SP Management Limited,Malta,Malta Incorporated,jurisdiction,
HM Treasury,Amyas Charles Edward Morse,"In September 2019, the Chancellor commissioned Sir Amyas Morse to lead an independent review into the disguised remuneration loan charge",job,
